date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type,hour,Day_of_Month,month,year,week_day,Power_Factor_Ratio,High_Load
2018-01-01 00:15:00,3.17,2.95,0.0,0.0,73.21,100.0,900,Weekday,Monday,Light_Load,0,1,1,2018,0,1.3659336156262807,0
2018-01-01 00:30:00,4.0,4.46,0.0,0.0,66.77,100.0,1800,Weekday,Monday,Light_Load,0,1,1,2018,0,1.4976785981728322,0
2018-01-01 00:45:00,3.24,3.28,0.0,0.0,70.28,100.0,2700,Weekday,Monday,Light_Load,0,1,1,2018,0,1.4228799089356858,0
2018-01-01 01:00:00,3.31,3.56,0.0,0.0,68.09,100.0,3600,Weekday,Monday,Light_Load,1,1,1,2018,0,1.46864444118079,0
2018-01-01 01:15:00,3.82,4.5,0.0,0.0,64.72,100.0,4500,Weekday,Monday,Light_Load,1,1,1,2018,0,1.5451174289245984,0
2018-01-01 01:30:00,3.28,3.56,0.0,0.0,67.76,100.0,5400,Weekday,Monday,Light_Load,1,1,1,2018,0,1.4757969303423848,0
2018-01-01 01:45:00,3.6,4.14,0.0,0.0,65.62,100.0,6300,Weekday,Monday,Light_Load,1,1,1,2018,0,1.5239256324291373,0
2018-01-01 02:00:00,3.6,4.28,0.0,0.0,64.37,100.0,7200,Weekday,Monday,Light_Load,2,1,1,2018,0,1.5535187199005747,0
2018-01-01 02:15:00,3.28,3.64,0.0,0.0,66.94,100.0,8100,Weekday,Monday,Light_Load,2,1,1,2018,0,1.4938751120406335,0
2018-01-01 02:30:00,3.78,4.72,0.0,0.0,62.51,100.0,9000,Weekday,Monday,Light_Load,2,1,1,2018,0,1.5997440409534476,0
2018-01-01 02:45:00,3.46,4.03,0.0,0.0,65.14,100.0,9900,Weekday,Monday,Light_Load,2,1,1,2018,0,1.5351550506601166,0
2018-01-01 03:00:00,3.24,3.64,0.0,0.0,66.49,100.0,10800,Weekday,Monday,Light_Load,3,1,1,2018,0,1.5039855617386075,0
2018-01-01 03:15:00,3.96,4.97,0.0,0.0,62.32,100.0,11700,Weekday,Monday,Light_Load,3,1,1,2018,0,1.6046213093709885,0
2018-01-01 03:30:00,3.31,3.74,0.0,0.0,66.27,100.0,12600,Weekday,Monday,Light_Load,3,1,1,2018,0,1.508978421608571,0
2018-01-01 03:45:00,3.31,3.85,0.0,0.0,65.19,100.0,13500,Weekday,Monday,Light_Load,3,1,1,2018,0,1.5339776039269828,0
2018-01-01 04:00:00,3.89,5.0,0.0,0.0,61.4,100.0,14400,Weekday,Monday,Light_Load,4,1,1,2018,0,1.6286644951140066,0
2018-01-01 04:15:00,3.28,3.82,0.0,0.0,65.14,100.0,15300,Weekday,Monday,Light_Load,4,1,1,2018,0,1.5351550506601166,0
2018-01-01 04:30:00,3.56,4.28,0.0,0.0,63.95,100.0,16200,Weekday,Monday,Light_Load,4,1,1,2018,0,1.5637216575449568,0
2018-01-01 04:45:00,3.74,4.54,0.0,0.0,63.58,100.0,17100,Weekday,Monday,Light_Load,4,1,1,2018,0,1.5728216420257943,0
2018-01-01 05:00:00,3.31,3.6,0.0,0.0,67.68,100.0,18000,Weekday,Monday,Light_Load,5,1,1,2018,0,1.4775413711583922,0
2018-01-01 05:15:00,3.56,4.07,0.0,0.0,65.84,100.0,18900,Weekday,Monday,Light_Load,5,1,1,2018,0,1.5188335358444713,0
2018-01-01 05:30:00,3.56,4.1,0.0,0.0,65.56,100.0,19800,Weekday,Monday,Light_Load,5,1,1,2018,0,1.5253203172666259,0
2018-01-01 05:45:00,3.28,3.49,0.0,0.0,68.48,100.0,20700,Weekday,Monday,Light_Load,5,1,1,2018,0,1.4602803738317756,0
2018-01-01 06:00:00,3.78,4.32,0.0,0.0,65.85,100.0,21600,Weekday,Monday,Light_Load,6,1,1,2018,0,1.5186028853454823,0
2018-01-01 06:15:00,3.35,3.64,0.0,0.0,67.72,100.0,22500,Weekday,Monday,Light_Load,6,1,1,2018,0,1.4766686355581808,0
2018-01-01 06:30:00,3.24,3.35,0.0,0.0,69.52,100.0,23400,Weekday,Monday,Light_Load,6,1,1,2018,0,1.4384349827387803,0
2018-01-01 06:45:00,3.89,4.46,0.0,0.0,65.73,100.0,24300,Weekday,Monday,Light_Load,6,1,1,2018,0,1.521375323292256,0
2018-01-01 07:00:00,3.31,3.53,0.0,0.0,68.4,100.0,25200,Weekday,Monday,Light_Load,7,1,1,2018,0,1.461988304093567,0
2018-01-01 07:15:00,3.28,3.49,0.0,0.0,68.48,100.0,26100,Weekday,Monday,Light_Load,7,1,1,2018,0,1.4602803738317756,0
2018-01-01 07:30:00,3.85,4.75,0.0,0.0,62.97,100.0,27000,Weekday,Monday,Light_Load,7,1,1,2018,0,1.588057805304113,0
2018-01-01 07:45:00,3.2,3.6,0.0,0.0,66.44,100.0,27900,Weekday,Monday,Light_Load,7,1,1,2018,0,1.5051173991571343,0
2018-01-01 08:00:00,3.31,3.78,0.0,0.0,65.88,100.0,28800,Weekday,Monday,Light_Load,8,1,1,2018,0,1.5179113539769278,0
2018-01-01 08:15:00,3.78,4.75,0.0,0.0,62.27,100.0,29700,Weekday,Monday,Light_Load,8,1,1,2018,0,1.6059097478721696,0
2018-01-01 08:30:00,3.28,3.74,0.0,0.0,65.94,100.0,30600,Weekday,Monday,Light_Load,8,1,1,2018,0,1.5165301789505612,0
2018-01-01 08:45:00,3.49,4.46,0.18,0.0,61.63,99.87,31500,Weekday,Monday,Light_Load,8,1,1,2018,0,1.6204770404024014,0
2018-01-01 09:00:00,3.89,0.0,15.66,0.0,100.0,24.11,32400,Weekday,Monday,Light_Load,9,1,1,2018,0,0.24109999999999998,0
2018-01-01 09:15:00,3.6,0.0,16.96,0.0,100.0,20.76,33300,Weekday,Monday,Light_Load,9,1,1,2018,0,0.2076,0
2018-01-01 09:30:00,4.03,0.0,21.28,0.0,100.0,18.61,34200,Weekday,Monday,Light_Load,9,1,1,2018,0,0.1861,0
2018-01-01 09:45:00,3.92,0.0,19.22,0.0,100.0,19.98,35100,Weekday,Monday,Light_Load,9,1,1,2018,0,0.1998,0
2018-01-01 10:00:00,3.64,0.0,16.88,0.0,100.0,21.08,36000,Weekday,Monday,Light_Load,10,1,1,2018,0,0.2108,0
2018-01-01 10:15:00,4.07,0.0,22.32,0.0,100.0,17.94,36900,Weekday,Monday,Light_Load,10,1,1,2018,0,0.1794,0
2018-01-01 10:30:00,3.71,0.0,18.0,0.0,100.0,20.19,37800,Weekday,Monday,Light_Load,10,1,1,2018,0,0.20190000000000002,0
2018-01-01 10:45:00,3.6,0.0,16.92,0.0,100.0,20.81,38700,Weekday,Monday,Light_Load,10,1,1,2018,0,0.20809999999999998,0
2018-01-01 11:00:00,4.21,0.0,23.4,0.0,100.0,17.71,39600,Weekday,Monday,Light_Load,11,1,1,2018,0,0.1771,0
2018-01-01 11:15:00,3.49,0.0,5.65,0.0,100.0,52.55,40500,Weekday,Monday,Light_Load,11,1,1,2018,0,0.5255,0
2018-01-01 11:30:00,3.46,0.0,4.82,0.0,100.0,58.31,41400,Weekday,Monday,Light_Load,11,1,1,2018,0,0.5831000000000001,0
2018-01-01 11:45:00,4.0,0.0,6.7,0.0,100.0,51.26,42300,Weekday,Monday,Light_Load,11,1,1,2018,0,0.5126,0
2018-01-01 12:00:00,3.49,0.0,4.57,0.0,100.0,60.69,43200,Weekday,Monday,Light_Load,12,1,1,2018,0,0.6069,0
2018-01-01 12:15:00,3.6,0.0,12.89,0.0,100.0,26.9,44100,Weekday,Monday,Light_Load,12,1,1,2018,0,0.26899999999999996,0
2018-01-01 12:30:00,4.25,0.0,23.15,0.0,100.0,18.06,45000,Weekday,Monday,Light_Load,12,1,1,2018,0,0.18059999999999998,0
2018-01-01 12:45:00,3.67,0.0,16.67,0.0,100.0,21.5,45900,Weekday,Monday,Light_Load,12,1,1,2018,0,0.215,0
2018-01-01 13:00:00,3.67,0.0,16.63,0.0,100.0,21.55,46800,Weekday,Monday,Light_Load,13,1,1,2018,0,0.2155,0
2018-01-01 13:15:00,4.25,0.0,23.33,0.0,100.0,17.92,47700,Weekday,Monday,Light_Load,13,1,1,2018,0,0.17920000000000003,0
2018-01-01 13:30:00,3.64,0.0,16.74,0.0,100.0,21.25,48600,Weekday,Monday,Light_Load,13,1,1,2018,0,0.2125,0
2018-01-01 13:45:00,3.67,0.0,16.99,0.0,100.0,21.11,49500,Weekday,Monday,Light_Load,13,1,1,2018,0,0.21109999999999998,0
2018-01-01 14:00:00,4.28,0.0,23.4,0.0,100.0,17.99,50400,Weekday,Monday,Light_Load,14,1,1,2018,0,0.17989999999999998,0
2018-01-01 14:15:00,3.64,0.0,16.67,0.0,100.0,21.33,51300,Weekday,Monday,Light_Load,14,1,1,2018,0,0.2133,0
2018-01-01 14:30:00,3.78,0.0,18.25,0.0,100.0,20.28,52200,Weekday,Monday,Light_Load,14,1,1,2018,0,0.2028,0
2018-01-01 14:45:00,4.1,0.0,22.1,0.0,100.0,18.24,53100,Weekday,Monday,Light_Load,14,1,1,2018,0,0.18239999999999998,0
2018-01-01 15:00:00,3.64,0.0,16.7,0.0,100.0,21.3,54000,Weekday,Monday,Light_Load,15,1,1,2018,0,0.213,0
2018-01-01 15:15:00,3.92,0.0,19.33,0.0,100.0,19.87,54900,Weekday,Monday,Light_Load,15,1,1,2018,0,0.19870000000000002,0
2018-01-01 15:30:00,4.1,0.0,21.35,0.0,100.0,18.86,55800,Weekday,Monday,Light_Load,15,1,1,2018,0,0.1886,0
2018-01-01 15:45:00,3.6,0.0,16.81,0.0,100.0,20.94,56700,Weekday,Monday,Light_Load,15,1,1,2018,0,0.2094,0
2018-01-01 16:00:00,3.96,0.0,20.45,0.0,100.0,19.01,57600,Weekday,Monday,Light_Load,16,1,1,2018,0,0.19010000000000002,0
2018-01-01 16:15:00,4.0,0.0,20.77,0.0,100.0,18.91,58500,Weekday,Monday,Light_Load,16,1,1,2018,0,0.1891,0
2018-01-01 16:30:00,3.6,0.0,16.81,0.0,100.0,20.94,59400,Weekday,Monday,Light_Load,16,1,1,2018,0,0.2094,0
2018-01-01 16:45:00,4.07,0.0,21.64,0.0,100.0,18.48,60300,Weekday,Monday,Light_Load,16,1,1,2018,0,0.1848,0
2018-01-01 17:00:00,3.82,0.0,19.19,0.0,100.0,19.52,61200,Weekday,Monday,Light_Load,17,1,1,2018,0,0.19519999999999998,0
2018-01-01 17:15:00,3.56,0.0,16.96,0.0,100.0,20.54,62100,Weekday,Monday,Light_Load,17,1,1,2018,0,0.2054,0
2018-01-01 17:30:00,4.1,0.0,23.51,0.0,100.0,17.18,63000,Weekday,Monday,Light_Load,17,1,1,2018,0,0.1718,0
2018-01-01 17:45:00,3.6,0.0,17.39,0.0,100.0,20.27,63900,Weekday,Monday,Light_Load,17,1,1,2018,0,0.2027,0
2018-01-01 18:00:00,3.6,0.0,17.35,0.0,100.0,20.32,64800,Weekday,Monday,Light_Load,18,1,1,2018,0,0.2032,0
2018-01-01 18:15:00,4.0,0.0,8.96,0.0,100.0,40.77,65700,Weekday,Monday,Light_Load,18,1,1,2018,0,0.4077,0
2018-01-01 18:30:00,3.42,0.0,5.47,0.0,100.0,53.01,66600,Weekday,Monday,Light_Load,18,1,1,2018,0,0.5301,0
2018-01-01 18:45:00,3.67,0.0,16.24,0.0,100.0,22.04,67500,Weekday,Monday,Light_Load,18,1,1,2018,0,0.22039999999999998,0
2018-01-01 19:00:00,4.07,0.0,22.57,0.0,100.0,17.75,68400,Weekday,Monday,Light_Load,19,1,1,2018,0,0.1775,0
2018-01-01 19:15:00,3.53,0.0,17.39,0.0,100.0,19.89,69300,Weekday,Monday,Light_Load,19,1,1,2018,0,0.1989,0
2018-01-01 19:30:00,3.85,0.0,20.74,0.0,100.0,18.25,70200,Weekday,Monday,Light_Load,19,1,1,2018,0,0.1825,0
2018-01-01 19:45:00,3.96,0.0,20.88,0.0,100.0,18.63,71100,Weekday,Monday,Light_Load,19,1,1,2018,0,0.1863,0
2018-01-01 20:00:00,3.56,0.0,17.35,0.0,100.0,20.1,72000,Weekday,Monday,Light_Load,20,1,1,2018,0,0.201,0
2018-01-01 20:15:00,4.03,0.0,22.54,0.0,100.0,17.6,72900,Weekday,Monday,Light_Load,20,1,1,2018,0,0.17600000000000002,0
2018-01-01 20:30:00,3.74,0.0,19.55,0.0,100.0,18.79,73800,Weekday,Monday,Light_Load,20,1,1,2018,0,0.18789999999999998,0
2018-01-01 20:45:00,3.56,0.0,17.42,0.0,100.0,20.02,74700,Weekday,Monday,Light_Load,20,1,1,2018,0,0.2002,0
2018-01-01 21:00:00,4.21,0.0,24.26,0.0,100.0,17.1,75600,Weekday,Monday,Light_Load,21,1,1,2018,0,0.171,0
2018-01-01 21:15:00,3.56,0.0,17.75,0.0,100.0,19.66,76500,Weekday,Monday,Light_Load,21,1,1,2018,0,0.1966,0
2018-01-01 21:30:00,3.53,0.0,17.42,0.0,100.0,19.86,77400,Weekday,Monday,Light_Load,21,1,1,2018,0,0.1986,0
2018-01-01 21:45:00,4.25,0.0,25.2,0.0,100.0,16.63,78300,Weekday,Monday,Light_Load,21,1,1,2018,0,0.1663,0
2018-01-01 22:00:00,3.53,0.0,17.5,0.0,100.0,19.77,79200,Weekday,Monday,Light_Load,22,1,1,2018,0,0.1977,0
2018-01-01 22:15:00,3.56,1.44,10.08,0.0,92.7,33.3,80100,Weekday,Monday,Light_Load,22,1,1,2018,0,0.35922330097087374,0
2018-01-01 22:30:00,3.67,4.21,0.0,0.0,65.71,100.0,81000,Weekday,Monday,Light_Load,22,1,1,2018,0,1.521838380763963,0
2018-01-01 22:45:00,3.24,3.35,0.0,0.0,69.52,100.0,81900,Weekday,Monday,Light_Load,22,1,1,2018,0,1.4384349827387803,0
2018-01-01 23:00:00,3.53,3.74,0.0,0.0,68.64,100.0,82800,Weekday,Monday,Light_Load,23,1,1,2018,0,1.456876456876457,0
2018-01-01 23:15:00,3.53,3.42,0.0,0.0,71.82,100.0,83700,Weekday,Monday,Light_Load,23,1,1,2018,0,1.3923698134224451,0
2018-01-01 23:30:00,3.24,2.95,0.0,0.0,73.94,100.0,84600,Weekday,Monday,Light_Load,23,1,1,2018,0,1.352447930754666,0
2018-01-01 23:45:00,3.67,3.96,0.0,0.0,67.97,100.0,85500,Weekday,Monday,Light_Load,23,1,1,2018,0,1.4712373105781962,0
2018-01-01 00:00:00,3.42,3.46,0.0,0.0,70.3,100.0,0,Weekday,Monday,Light_Load,0,1,1,2018,0,1.4224751066856332,0
2018-01-02 00:15:00,3.2,3.1,0.0,0.0,71.82,100.0,900,Weekday,Tuesday,Light_Load,0,2,1,2018,1,1.3923698134224451,0
2018-01-02 00:30:00,3.85,4.61,0.0,0.0,64.1,100.0,1800,Weekday,Tuesday,Light_Load,0,2,1,2018,1,1.5600624024961,0
2018-01-02 00:45:00,3.28,3.67,0.0,0.0,66.64,100.0,2700,Weekday,Tuesday,Light_Load,0,2,1,2018,1,1.5006002400960383,0
2018-01-02 01:00:00,3.35,3.6,0.0,0.0,68.12,100.0,3600,Weekday,Tuesday,Light_Load,1,2,1,2018,1,1.467997651203758,0
2018-01-02 01:15:00,3.89,4.72,0.0,0.0,63.6,100.0,4500,Weekday,Tuesday,Light_Load,1,2,1,2018,1,1.572327044025157,0
2018-01-02 01:30:00,3.28,3.53,0.0,0.0,68.07,100.0,5400,Weekday,Tuesday,Light_Load,1,2,1,2018,1,1.4690759512266787,0
2018-01-02 01:45:00,3.46,3.96,0.0,0.0,65.8,100.0,6300,Weekday,Tuesday,Light_Load,1,2,1,2018,1,1.5197568389057752,0
2018-01-02 02:00:00,3.78,4.82,0.0,0.0,61.71,100.0,7200,Weekday,Tuesday,Light_Load,2,2,1,2018,1,1.6204829039053639,0
2018-01-02 02:15:00,3.31,3.53,0.0,0.0,68.4,100.0,8100,Weekday,Tuesday,Light_Load,2,2,1,2018,1,1.461988304093567,0
2018-01-02 02:30:00,3.6,4.36,0.0,0.0,63.67,100.0,9000,Weekday,Tuesday,Light_Load,2,2,1,2018,1,1.570598397989634,0
2018-01-02 02:45:00,3.64,4.39,0.0,0.0,63.83,100.0,9900,Weekday,Tuesday,Light_Load,2,2,1,2018,1,1.5666614444618518,0
2018-01-02 03:00:00,3.28,3.71,0.0,0.0,66.24,100.0,10800,Weekday,Tuesday,Light_Load,3,2,1,2018,1,1.5096618357487923,0
2018-01-02 03:15:00,3.71,4.57,0.0,0.0,63.03,100.0,11700,Weekday,Tuesday,Light_Load,3,2,1,2018,1,1.5865460891638903,0
2018-01-02 03:30:00,3.56,4.03,0.0,0.0,66.21,100.0,12600,Weekday,Tuesday,Light_Load,3,2,1,2018,1,1.510345869204048,0
2018-01-02 03:45:00,3.24,3.49,0.0,0.0,68.04,100.0,13500,Weekday,Tuesday,Light_Load,3,2,1,2018,1,1.469723691945914,0
2018-01-02 04:00:00,3.89,4.64,0.0,0.0,64.25,100.0,14400,Weekday,Tuesday,Light_Load,4,2,1,2018,1,1.556420233463035,0
2018-01-02 04:15:00,3.28,3.42,0.0,0.0,69.22,100.0,15300,Weekday,Tuesday,Light_Load,4,2,1,2018,1,1.444669170759896,0
2018-01-02 04:30:00,3.28,3.49,0.0,0.0,68.48,100.0,16200,Weekday,Tuesday,Light_Load,4,2,1,2018,1,1.4602803738317756,0
2018-01-02 04:45:00,3.96,4.68,0.0,0.0,64.59,100.0,17100,Weekday,Tuesday,Light_Load,4,2,1,2018,1,1.5482272797646695,0
2018-01-02 05:00:00,3.24,3.42,0.0,0.0,68.77,100.0,18000,Weekday,Tuesday,Light_Load,5,2,1,2018,1,1.4541224371092047,0
2018-01-02 05:15:00,3.46,3.78,0.0,0.0,67.52,100.0,18900,Weekday,Tuesday,Light_Load,5,2,1,2018,1,1.481042654028436,0
2018-01-02 05:30:00,3.67,4.07,0.0,0.0,66.97,100.0,19800,Weekday,Tuesday,Light_Load,5,2,1,2018,1,1.4932059130954158,0
2018-01-02 05:45:00,3.24,3.42,0.0,0.0,68.77,100.0,20700,Weekday,Tuesday,Light_Load,5,2,1,2018,1,1.4541224371092047,0
2018-01-02 06:00:00,3.67,3.96,0.0,0.0,67.97,100.0,21600,Weekday,Tuesday,Light_Load,6,2,1,2018,1,1.4712373105781962,0
2018-01-02 06:15:00,3.53,3.78,0.0,0.0,68.25,100.0,22500,Weekday,Tuesday,Light_Load,6,2,1,2018,1,1.465201465201465,0
2018-01-02 06:30:00,3.2,3.24,0.0,0.0,70.27,100.0,23400,Weekday,Tuesday,Light_Load,6,2,1,2018,1,1.4230823964707557,0
2018-01-02 06:45:00,3.78,4.07,0.0,0.0,68.05,100.0,24300,Weekday,Tuesday,Light_Load,6,2,1,2018,1,1.4695077149155034,0
2018-01-02 07:00:00,3.35,3.35,0.0,0.0,70.71,100.0,25200,Weekday,Tuesday,Light_Load,7,2,1,2018,1,1.4142271248762552,0
2018-01-02 07:15:00,3.53,3.49,0.0,0.0,71.11,100.0,26100,Weekday,Tuesday,Light_Load,7,2,1,2018,1,1.406271972999578,0
2018-01-02 07:30:00,6.3,4.57,0.0,0.0,80.95,100.0,27000,Weekday,Tuesday,Light_Load,7,2,1,2018,1,1.2353304508956144,0
2018-01-02 07:45:00,6.05,4.79,0.0,0.0,78.4,100.0,27900,Weekday,Tuesday,Light_Load,7,2,1,2018,1,1.2755102040816326,0
2018-01-02 08:00:00,6.73,4.54,0.0,0.0,82.9,100.0,28800,Weekday,Tuesday,Light_Load,8,2,1,2018,1,1.2062726176115801,0
2018-01-02 08:15:00,29.02,18.83,0.07,0.0,83.89,100.0,29700,Weekday,Tuesday,Light_Load,8,2,1,2018,1,1.1920371915603767,0
2018-01-02 08:30:00,46.19,28.66,0.0,0.0,84.97,100.0,30600,Weekday,Tuesday,Light_Load,8,2,1,2018,1,1.1768859597505001,0
2018-01-02 08:45:00,52.06,35.32,0.0,0.0,82.75,100.0,31500,Weekday,Tuesday,Light_Load,8,2,1,2018,1,1.2084592145015105,1
